;;;;;;;;;;;;;;;;;
;TIPO;ANO;LEI / NORMA;OBJETIVO;TEMA;"Aplic†vel Ö 
IP CREDENCIADOR";"Aplic†vel Ö 
IP EME";"Aplic†vel Ö 
IF SCD";"Aplic†vel Ö 
TAG";Aplic†vel Ö pelo menos uma das 4;OBSERVAÄ«O;BASE LEGAL;VIGOR;;;;
;Circular BCB;jul/20;Circular 4.037/20;Altera a Circular nß 4.032/20, que disp‰e sobre a estrutura inicial respons†vel pela governanáa do processo de implementaá∆o no Pa°s do Sistema Financeiro Aberto (Open Banking).;Open Banking;"Sim
Altera norma aplic†vel";"Sim
Altera norma aplic†vel";"Sim
Altera norma aplic†vel";N∆o;Sim;"A Circular 4.037/20, ampliou o prazo para formalizaá∆o da estrutura inicial respons†vel pela governanáa do processo de implementaá∆o do Open Baking para 24/07/20.

As instituiá‰es participantes devem elaborar convená∆o cujo conte£do deveria ser deliberado pelo Conselho Deliberativo. A partir da Circular 4.037, a convená∆o passa a ser incorporada pelo BCB Ö regulamentaá∆o espec°fica de sua responsabilidade ou incorporada Ö regulamentaá∆o do CMN,

A Circular 4.037/20 estabelece, ainda, um limite para a composiá∆o do Conselho Deliberativo de atÇ 7 conselheiros com direito a voto nos processos deliberativos.

Os conselheiros titulares e suplentes indicados podem ser substitu°dos a qualquer tempo pelas associaá‰es ou grupos de associaá‰es que os designou, mediante comunicaá∆o ao Secretariado com antecedància m°nima de 2 dias £teis.";;15/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.934/20;"Divulga a TBF, o Redutor ""R"" e a Taxa Referencial (TR) relativos a 15/07/20.";Taxa B†sica Financeira;N∆o;N∆o;N∆o;N∆o;N∆o;"Disciplina atividade do BCB.

O comunica que a TBF, o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 15.07.20 a 15.08.20 s∆o, respectivamente: 0,1743%, 1,0054 e 0,0000%.";16/07/2020;16/07/2020;;;;
;Carta Circular BCB;jul/20;Carta Circular 4.070/20;Altera a Carta Circular nß 4.056/20, que estabelece os procedimentos necess†rios para a ades∆o ao arranjo de pagamentos instantÉneos (PIX), desde o seu lanáamento.;Pagamentos InstantÉneos;"Sim
Altera norma aplic†vel";"Sim
Altera norma aplic†vel";N∆o*;N∆o;Sim;"A Carta Circular 4.070/20 inclui nos testes formais, o teste da funcionalidade de solicitaá∆o de devoluá∆o para as instituiá‰es que acessarem diretamente o DICT de forma obrigat¢ria ou facultativa. Ainda, no que diz respeito aos testes, a Carta Circular 4.070/20 solicita que pelo menos uma mensagem de cada um dos testes esteja devidamente assinada.

J† as instituiá‰es que acessarem o DICT de forma indireta devem enviar declaraá∆o, atÇ o dia 30/09/20, com afirmaá∆o de que a instituiá∆o possui mecanismos adequados de proteá∆o Ö varredura da sua base de dados interna.

Os provedores de conta transacional devem cumprir as etapas do processo de verificaá∆o de aderància das soluá‰es aos usu†rios finais. - Ser† avaliada apenas a aderància do principal aplicativo para telefone celular disponibilizado para os clientes pessoa natural.

Ainda, a Carta Circular 4.070/20 atualiza o Anexo e inclui como objeto dos testes a funcionalidade de solicitaá∆o de devoluá∆o.

*Aplic†vel caso a SCD administre conta de pagamento.";;16/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.936/20;Alteraá∆o de pol°tica de qualidade de serviáo da RSFN.;Rede do Sistema Financeiro Nacional;Sim;N∆o;N∆o;N∆o;Sim;"Disciplina atividade do BCB.

Foi aprovada a alteraá∆o na pol°tica de qualidade de serviáo ? QoS da RSFN.

Essa alteraá∆o tem por finalidade tornar a priorizaá∆o do tr†fego mais adequada Ö nova configuraá∆o de serviáos, com a inclus∆o do PIX na RSFN. Espera-se que a alteraá∆o traga mais seguranáa e disponibilidade aos serviáos da rede, j† que haver† priorizaá∆o e garantia de banda para novo serviáo sem comprometer os existentes.";16/07/2020;16/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.938/20;Divulga condiá‰es para a realizaá∆o de operaá‰es compromissadas com instituiá‰es financeiras participantes do m¢dulo Oferta P£blica (Ofpub).;Operaá‰es Compromissadas;N∆o;N∆o;N∆o;N∆o;N∆o;"Disciplina atividade do BCB.

O BCB torna p£blico que, das 12:00 Ös 12:30 horas do dia 17/07/20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de venda de t°tulos p£blicos com compromisso de revenda assumido pela instituiá∆o financeira compradora, admitida a livre movimentaá∆o dos t°tulos.";16/07/2020;16/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.939/20;"Divulga a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos a 16/07/20.";Taxa B†sica Financeira;N∆o;N∆o;N∆o;N∆o;N∆o;"Disciplina atividade do BCB.

O BCB comunica que a TBF, o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 16.07.20 a 16.08.20 s∆o, respectivamente: 0,1662%, 1,0054 e 0,0000%.";17/07/2020;17/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.940/20;Comunica procedimentos e prazos para a vers∆o 5.01, ordin†ria, do Cat†logo de Serviáos do SFN.;Cat†logo de Serviáos do SFN;Sim;Sim;Sim;N∆o;Sim;"Fica estabelecida as seguintes datas-limite:
14/08/20: para submiss∆o dos DRN para os serviáos autorregulados - gestores dos serviáos regulados por unidades de neg¢cio do BCB dever∆o ser estabelecidas pelas pr¢prias unidades.
04/09/20:para publicaá∆o dos documentos que integram o Cat†logo de Serviáos do SFN em sua vers∆o 5.01.
23/11/20: para in°cio da homologaá∆o dos sistemas constantes do Cat†logo de Serviáos do SFN, em sua vers∆o 5.01.
5/12/20: para a implantaá∆o em produá∆o dos sistemas constantes do Cat†logo de Serviáos do SFN, em sua vers∆o 5.01.";;17/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.941/20 ;Comunica a inclus∆o de novos tipos de normativos dispon°veis para consulta no sitio eletrìnico do Banco Central do Brasil, no sistema BC Correio ou via Web Service.;BC Correio;Sim;Sim;Sim;N∆o;Sim;"A partir de 01/08/20, em raz∆o do Decreto 10.139/19, os atos normativos inferiores a decreto ser∆o editados na forma de portarias, resoluá‰es e instruá‰es normativas.

Assim, as instituiá‰es usu†rias do Web Service devem atualizar seus sistemas para que os novos tipos sejam considerados.

[Compliance, sugerimos verificaá∆o acerca da necessidade de realizar o referido ajuste em nossa caixa para recepá∆o das informaá‰es]";;17/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.943/20;Divulga condiá‰es para a realizaá∆o de operaá‰es compromissadas com instituiá‰es financeiras participantes do m¢dulo Oferta P£blica (Ofpub).;Operaá‰es Compromissadas;N∆o;N∆o;N∆o;N∆o;N∆o;"Disciplina atividade do BCB.

O BCB torna p£blico que, das 12:00 Ös 12:30 horas do dia 20/07/20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de venda de t°tulos p£blicos com compromisso de revenda assumido pela instituiá∆o financeira compradora, admitida a livre movimentaá∆o dos t°tulos.";;17/07/2020;;;;
;Resoluá∆o CMN;jul/20;Resoluá∆o 4.837/20;Altera a Resoluá∆o nß 4.676/18, que disp‰e sobre as condiá‰es gerais e os critÇrios para contrataá∆o de financiamento imobili†rio pelas instituiá‰es financeiras e demais instituiá‰es autorizadas a funcionar pelo Banco Central do Brasil e disciplina o direcionamento dos recursos captados em dep¢sitos de poupanáa.;Imobili†rio;N∆o;N∆o;N∆o;N∆o;N∆o;Altera a Resoluá∆o nß 4.676/18 de forma a regulamentar o compartilhamento de alienaá∆o fiduci†ria de bens im¢veis previsto na MP 992/20. As novas operaá‰es de crÇdito contratadas no Émbito do compartilhamento da alienaá∆o fiduci†ria n∆o poder∆o ter taxas de juros superiores ao da operaá∆o original e prazos superiores ao prazo remanescente da operaá∆o de crÇdito original, a fim de que se propicie condiá‰es favor†veis aos potenciais tomadores. Ainda, a Resoluá∆o possibilita que os emprÇstimos a pessoas naturais e jur°dicas garantidos pela alienaá∆o de bens m¢veis sejam admitidos para fins do atendimento do direcionamento dos dep¢sitos de poupanáa.;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o extraordin†ria realizada em 20 de julho de 2020, com base nos arts. 4ß, incisos VI e IX, da referida Lei, 9ß-A a 9ß-D da Lei nß 13.476, de 28 de agosto de 2017, e 95 da Lei nß 13.097, de 19 de janeiro de 2015,;21/07/2020;;;;
;Resoluá∆o CMN;jul/20;Resoluá∆o 4.838/20;Disp‰e sobre operaá‰es de crÇdito contratadas no Émbito do Programa de Capital de Giro para Preservaá∆o de Empresas pelas instituiá‰es que especifica.;Operaá‰es de CrÇdito;N∆o;N∆o;N∆o;N∆o;N∆o;O CGPE complementa e auxilia as medidas de combate aos efeitos econìmicos da Covid-19 j† colocadas em aá∆o. O objetivo Ç prover novos est°mulos de acesso ao crÇdito Ös microempresas e Ös empresas de pequeno e de mÇdio porte (aquelas cujo faturamento anual seja de atÇ R$300 milh‰es). O crÇdito concedido pelas instituiá‰es credoras do CGPE ser† destinado exclusivamente ao capital de giro das empresas, tendo prazo m°nimo de 36 meses, bem como carància m°nima de 6 meses para o in°cio da amortizaá∆o da d°vida. As operaá‰es de crÇdito no Émbito do CGPE devem ser contratadas atÇ 31/12/20.;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o extraordin†ria realizada em 20 de julho de 2020, com base nos arts. 4ß, inciso VI, da referida Lei, e 2ß, ı 3ß, da Medida Provis¢ria nß 992, de 16 de julho de 2020,;21/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.947/20;"Divulga as Taxas B†sicas Financeiras (TBF), os Redutores ""R"" e as Taxas Referenciais (TR) relativos a 18, 19 e 20 de julho de 2020.";Taxa B†sica Financeira;N∆o;N∆o;N∆o;N∆o;N∆o;"O BCB comunica que as TBF, os Redutores ""R"" e as Taxas Referenciais (TR) relativos aos per°odos abaixo especificados s∆o: I - TBF: a) de 18.07.20 a 18.08.20: 0,1577%; b) de 19.07.20 a 19.08.20: 0,1652%; c) de 20.07.20 a 20.08.20: 0,1727%; II - Redutores ""R"": a) de 18.07.20 a 18.08.20: 1,0054; b) de 19.07.20 a 19.08.20: 1,0054; c) de 20.07.20 a 20.08.20: 1,0054; e III - Taxas Referenciais (TR): a) de 18.07.20 a 18.08.20: 0,0000%; b) de 19.07.20 a 19.08.20: 0,0000%; c) de 20.07.20 a 20.08.20: 0,0000%.";-;21/07/2020;;;;
;Comunicado BCB;jul/20;Carta Circular 4.071/20;Cria e altera rubricas cont†beis no Plano Cont†bil das Instituiá‰es do Sistema Financeiro Nacional para registro de crÇditos tribut†rios e para controle de operaá‰es contratadas no Émbito do Programa de Capital de Giro para Preservaá∆o de Empresas (CGPE);Contabilidade;N∆o;N∆o;N∆o;N∆o;N∆o;"A partir da Circular 4.071/20 ficam: Criados, no Cosif, os seguintes subt°tulos, com atributos UBDKIFJELMNZ: (i) 1.8.8.25.30-1  CrÇditos Tribut†rios ? MP 992; (ii) 3.0.9.50.15-1  CGPE ? Empresa com Receita Bruta atÇ R$100 Milh‰es; (iii) 3.0.9.50.25-4  CGPE ? Empresa com Receita Bruta entre R$100 Milh‰es e R$300 Milh‰es; e (iv) 3.0.9.50.35-7  CGPE ? Programas Eleg°veis. Alteradas no Cosif: (i) a funá∆o do t°tulo 1.8.8.52.00-6  CRêDITO PRESUMIDO Lei 12.838/13; (ii) a nomenclatura do t°tulo 1.8.8.52.00-6  CRêDITO PRESUMIDO LEI 12.838/2013. Exclu°dos do Cosif: (i) o subt°tulo 1.8.8.25.10-5  CrÇditos Tribut†rios ? Circular 2.746 ? Realizaá∆o ap¢s 5 Anos; e (ii) o subt°tulo 1.8.8.25.20-8  CrÇditos Tribut†rios ? Circular 2.746 ? Realizaá∆o atÇ 5 Anos.";"O Chefe do Departamento de Regulaá∆o do Sistema Financeiro (Denor), no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ""a"", do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no item 4 da Circular nß 1.540, de 6 de outubro de 1989,";01/08/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.951/20;Divulga condiá‰es para a realizaá∆o de operaá‰es compromissadas com instituiá‰es financeiras participantes do m¢dulo Oferta P£blica (Ofpub).;Operaá‰es Compromissadas;N∆o;N∆o;N∆o;N∆o;N∆o;O BCB torna p£blico que, das 12:00 Ös 12:30 horas do dia  22/0720, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de venda de t°tulos p£blicos com compromisso de revenda assumido pela IF compradora, admitida a livre movimentaá∆o dos t°tulos.;-;01/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.952/20;"Divulga a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos a 21/07/20.
";Taxa B†sica Financeira;N∆o;N∆o;N∆o;N∆o;N∆o;"	O BCB comunica que a TBF, o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 21.07.20 a 21.08.20 s∆o, respectivamente: 0,1738%, 1,0054 e 0,0000%.";-;;;;;
;Comunicado BCB;jul/20;Comunicado 35.953/20;Divulga novos subcen†rios de utilizaá∆o das mensagens de afastamento de sigilo banc†rio do Cat†logo 5.00 do CCS.;Cat†logo do CCS;N∆o;Sim;N∆o*;N∆o;Sim;"O Comunicado altera formas de utilizaá∆o das mensagens CCS0011 e CCS0012, para contemplar o envio das informaá‰es solicitadas por meio do Sistema de Transferància de Arquivos (STA).

SCD: aplic†vel Ös SCDs que administra conta de pagamento.";-;;;;;
;Comunicado BCB;jul/20;Carta Circular 4.072/20;"Altera o Leiaute e as Instruá‰es de Preenchimento do documento 3040 - Dados de Risco de CrÇdito, do Sistema de Informaá‰es de CrÇditos (SCR), de que tratam a Circular nß 3.870/17, e a Carta Circular nß 3.869/18, tendo em vista as medidas adotadas para o combate dos efeitos da pandemia de Coronav°rus na economia.
";Contabilidade;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;As novas vers‰es do Leiaute e das Instruá‰es de Preenchimento do Documento 3040 entram em vigor a partir da data-base de agosto de 2020. Foi inclu°do no ?Anexo 37: Tipo de Uso Regulat¢rio?, o dom°nio 04 com a descriá∆o ?Operaá‰es contratadas no Émbito do CGPE? ? tais informaá‰es podem ser enviadas para a data-base de julho de 2020, em regime de produá∆o assistida.;O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig), no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, do referido Regimento, e tendo em vista o disposto na Medida Provis¢ria nß 992, de 16 de julho de 2020, nas Resoluá‰es ns. 4.571, de 26 de maio de 2017, e 4.838, de 21 de julho de 2020, na Circular nß 3.870, de 19 de dezembro de 2017, e na Carta Circular nß 3.869, de 19 de maráo de 2018,;22/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.955/20;"Comunica a publicaá∆o de novas vers‰es de especificaá‰es dos Dados Abertos do SFN.
";SFN;Sim;Sim;N∆o*;N∆o;Sim;"A especificaá∆o das Tabelas do Relat¢rio de Pilar 3 foi revisada para incluir as alteraá‰es leiaute divulgadas nas Cartas Circulares 4.035/20 e 4.068/20, que tratam de gerenciamento de riscos. Vigància: 17/08/20 e Homologaá∆o: 03/08/20

SCD: aplic†vel Ös SCDs que administra conta de pagamento.";-;22/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.956/20;Comunica publicaá∆o de nova vers∆o do Manual de Seguranáa do SFN.;SFN;Sim;Sim;N∆o*;N∆o;Sim;"Comunica publicaá∆o de nova vers∆o do Manual de Seguranáa do SFN.

SCD: aplic†vel Ös SCDs que administra conta de pagamento.";-;22/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.957/20;"Divulga a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos a 22/07/20.";SFN;N∆o;N∆o;N∆o*;N∆o;N∆o;"O BCB comunica que a TBF, o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 22.07.20 a 22.08.20 s∆o, respectivamente: 0,1749%, 1,0054 e 0,0000%.

SCD: aplic†vel Ös SCDs que administra conta de pagamento.";-;23/07/2020;;;;
;Carta Circular BCB;jul/20;Carta Circular 4.073/20;Divulga condiá‰es para a realizaá∆o de operaá‰es compromissadas com instituiá‰es financeiras participantes do m¢dulo Oferta P£blica (Ofpub).;Serviáos Tarifados;Sim;Sim;Sim;N∆o;Sim;A Carta Circular 4.073/20 altera a Carta Circular 3.605/13 para prever o encaminhamento de declaraá∆o de conformidade em relaá∆o aos valores dos respectivos serviáos divulgados no site do BCB pelas instituiá‰es financeiras, no primeiro dia £til de cada trimestre civil. A declaraá∆o de conformidade dever ser encaminhada por meio da opá∆o ?PESP580? do Sisbacen.;O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig), no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, do referido Regimento, e tendo em vista o disposto no ı 3ß do art. 2ß da Circular nß 3.512, de 25 de novembro de 2010,;23/07/2020;;;;
;Carta Circular BCB;jul/20;Carta Circular 4.074/20;Estabelece procedimentos relativos ao envio de documentos e informaá‰es, de respostas a exigàncias e de interposiá∆o de recursos, Ö formalizaá∆o de exigàncias, Ö comunicaá∆o da decis∆o e Ös demais comunicaá‰es relacionadas com a instruá∆o e com o exame de processos de autorizaá∆o conduzidos pelo Departamento de Organizaá∆o do Sistema Financeiro (Deorf), e d† outras providàncias.;Aspectos Societ†rios;Sim;Sim;Sim;;Sim;"[Importante para envio e remessa de documento e informaá‰es por times que realizam interaá∆o direta com o BCB]

As instituiá‰es, para fins de instruá∆o dos processos de autorizaá∆o cuja an†lise tÇcnica seja conduzida pelo Deorf, devem encaminhar, por meio o Protocolo Digital:
(i) os documentos e as informaá‰es previstos na regulamentaá∆o pertinente; e
(ii) as respostas Ös exigàncias e os recursos interpostos em raz∆o do indeferimento dos pleitos.
 
Os processos cuja instruá∆o, inclusive no que se refere Ös respostas Ös exigàncias formalizadas, tenha sido protocolizada de forma incompleta, intempestiva ou em desacordo com o formato exigido, estar∆o sujeitos a arquivamento, consideradas as particularidades do caso concreto.

O remanejamento ou a ren£ncia de membros de ¢rg∆os societ†rios deve ser comunicado ao Deorf por meio do BC Correio, informando os dados do ato societ†rio correspondente.

Revoga: Carta Circular nß 4.038/20.";-;03/08/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.961/20;Divulga condiá‰es para a realizaá∆o de operaá‰es compromissadas com instituiá‰es financeiras participantes do m¢dulo Oferta P£blica (Ofpub).;Operaá‰es Compromissadas;N∆o;N∆o;N∆o;N∆o;N∆o;O BCB torna p£blico que, das 12:00 Ös 12:30 horas do dia 24/07/20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de venda de t°tulos p£blicos com compromisso de revenda assumido pela IF compradora, admitida a livre movimentaá∆o dos t°tulos.;-;23/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.962/20;"Divulga a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos a 23/07/20.";Taxa B†sica Financeira;N∆o;N∆o;N∆o;N∆o;N∆o;"O BCB comunica que a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 23.07.20 a 23.08.20 s∆o, respectivamente: 0,1662%, 1,0054 e 0,0000%.";-;24/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.963/20 ;Comunica a alteraá∆o e a publicaá∆o do Dicion†rio de Dom°nios associado ao Cat†logo de Serviáos do SFN.;SFN;Sim;Sim;N∆o;N∆o;Sim;;-;24/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.963/20;Comunica a alteraá∆o e a publicaá∆o do Dicion†rio de Dom°nios associado ao Cat†logo de Serviáos do SFN.;SFN;Sim;Sim;N∆o;N∆o;Sim;Comunica a alteraá∆o do Dicion†rio de Dom°nios associado ao Cat†logo de Serviáos do SFN e a sua publicaá∆o no s°tio internet da Comunicaá∆o Eletrìnica de Dados do Banco Central do Brasil (https://www.bcb.gov.br/estabilidadefinanceira/comunicacaodados).;-;24/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.969/20;"Divulga a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos a 24 de julho de 2020.";Taxa B†sica Financeira;N∆o;N∆o;N∆o;N∆o;N∆o;"Comunica que a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 24.7.2020 a 24.8.2020 s∆o, respectivamente: 0,1571% (mil, quinhentos e setenta e um dÇcimos de milÇsimo por cento), 1,0054 (um inteiro e cinquenta e quatro dÇcimos de milÇsimo) e 0,0000% (zero por cento).ˇ";-;27/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.972/20;Revoga o Comunicado nß 23.010, de 5 de outubro de 2012.;Alteraá‰es Societ†rias;N∆o;N∆o;N∆o;N∆o;N∆o;Considerando a transferància da competància para an†lise de atos de concentraá∆o envolvendo instituiá‰es financeiras para o Decem e, consequentemente, a alteraá∆o dos arts. 2ß e 6ß da Circular nß 3.590/2012, pela Circular nß 4.013/2020, fica revogado o Comunicado nß 23.010/2012, que disp‰e sobre condiá‰es relativas ao fornecimento de informaá‰es pelas cooperativas de crÇdito para o exame de atos de concentraá∆o.;-;27/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.973/20;Divulga a realizaá∆o de leil‰es de venda conjugados com leil‰es de compra de moeda estrangeira no mercado interbanc†rio de cÉmbio, na modalidade p¢s-fixado Selic.;Leil∆o;N∆o;N∆o;N∆o;N∆o;N∆o;-;-;27/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.974/20;Divulga a realizaá∆o de leil∆o de venda conjugado com leil∆o de compra p¢s-fixado Selic no mercado interbanc†rio de cÉmbio.;Leil∆o;N∆o;N∆o;N∆o;N∆o;N∆o;-;-;28/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.975/20;Divulga a realizaá∆o de leil∆o de venda conjugado com leil∆o de compra p¢s-fixado Selic no mercado interbanc†rio de cÉmbio;Leil∆o;N∆o;N∆o;N∆o;N∆o;N∆o;-;-;28/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.976/20;"Divulga as Taxas B†sicas Financeiras (TBF), os Redutores ""R"" e as Taxas Referenciais (TR) relativos a 25, 26 e 27 de julho de 2020.";Taxa B†sica Financeira;N∆o;N∆o;N∆o;N∆o;N∆o;"Comunica que as Taxas B†sicas Financeiras (TBF), os Redutores ""R"" e as Taxas Referenciais (TR) relativos aos per°odos abaixo especificados s∆o:
ˇ
I - Taxas B†sicas Financeiras (TBF):
a) de 25.7.2020 a 25.8.2020: 0,1535% (mil, quinhentos e trinta e cinco dÇcimos de milÇsimo por cento);
b) de 26.7.2020 a 26.8.2020: 0,1608% (mil, seiscentos e oito dÇcimos de milÇsimo por cento);
c) de 27.7.2020 a 27.8.2020: 0,1681% (mil, seiscentos e oitenta e um dÇcimos de milÇsimo por cento);
ˇ
II - Redutores ""R"":
a) de 25.7.2020 a 25.8.2020: 1,0054 (um inteiro e cinquenta e quatro dÇcimos de milÇsimo);
b) de 26.7.2020 a 26.8.2020: 1,0054 (um inteiro e cinquenta e quatro dÇcimos de milÇsimo);
c) de 27.7.2020 a 27.8.2020: 1,0054 (um inteiro e cinquenta e quatro dÇcimos de milÇsimo); e
ˇ
III - Taxas Referenciais (TR):
a) de 25.7.2020 a 25.8.2020: 0,0000% (zero por cento);b) de 26.7.2020 a 26.8.2020: 0,0000% (zero por cento);c) de 27.7.2020 a 27.8.2020: 0,0000% (zero por cento).";-;28/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.977/20;Divulga o resultado de leil∆o de venda conjugado com leil∆o de compra p¢s-fixado Selic no mercado interbanc†rio de cÉmbio.;Leil∆o;N∆o;N∆o;N∆o;N∆o;N∆o;O Departamento das Reservas Internacionais (DEPIN), do Banco Central do Brasil, comunica que a taxa de corte do leil∆o 59/2020 foi de 0,740100%. Foram aceitas 3 propostas no valor total de USD $2.000.000.000,00.;-;28/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.978/20;Divulga o resultado de leil∆o de venda conjugado com leil∆o de compra p¢s-fixado Selic no mercado interbanc†rio de cÉmbio.;Leil∆o;N∆o;N∆o;N∆o;N∆o;N∆o;O Departamento das Reservas Internacionais (DEPIN), do Banco Central do Brasil, comunica que n∆o foi aceita nenhuma proposta no leil∆o 60/2020. Foram aceitas 0 propostas no valor total de USD $0.;-;28/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.979/20;Divulga orientaá‰es sobre a abertura, a movimentaá∆o e o encerramento de contas de dep¢sitos Ö vista de partidos pol°ticos e de candidatos, bem como sobre os extratos eletrìnicos dessas contas.;Conta de Dep¢sito;N∆o;N∆o;N∆o;N∆o;N∆o;Os bancos comerciais, os bancos m£ltiplos com carteira comercial e a Caixa Econìmica Federal devem realizar a abertura de contas de dep¢sitos Ö vista, quando solicitada por partidos pol°ticos e candidatos, em conformidade com as orientaá‰es do Comunicado.;-;28/07/2020;;;;
;Comunicado BCB;jul/20;Comunicado 35.981/20;Comunica os procedimentos necess†rios para o registro do aditamento contratual de operaá‰es de crÇdito de que trata o art. 4ß da Lei Complementar nß 173/2020, no Sistema de Registro de Operaá‰es de CrÇdito com o Setor P£blico (CADIP).;Operaá‰es de CrÇdito;N∆o;N∆o;Sim;N∆o;Sim;"Disp‰e sobre o registro de aditamento de operaá‰es de crÇdito mantidos com os ‡rg∆os e Entidades do Setor P£blico sujeitos a Lei Complementar nß 173/2020.

SCD: apesar de n∆o realizadas atualmente, n∆o existe impedimentos para SCD.";-;28/07/2020;;;;
